nombre;tipo
Ajo;Hortaliza
Alcachofa;Hortaliza
Apio;Hortaliza
Arveja Verde;Hortaliza
Brócoli;Hortaliza
Cebolla;Hortaliza
Choclo;Hortaliza
Coliflor;Hortaliza
Espinaca;Hortaliza
Haba;Hortaliza
Lechuga;Hortaliza
Melón;Hortaliza
Papa;Hortaliza
Pepino ensalada;Hortaliza
Poroto granado;Hortaliza
Poroto verde;Hortaliza
Repollo;Hortaliza
Sandía;Hortaliza
Tomate;Hortaliza
Zanahoría;Hortaliza
Zapallo italiano;Hortaliza
Durazno;Fruta
Frambuesa;Fruta
Frutilla;Fruta
Kiwi;Fruta
Limón;Fruta
Mandarina;Fruta
Manzana;Fruta
Naranja;Fruta
Nectarín;Fruta
Palta;Fruta
Pera;Fruta
Uva;Fruta
