"month","year","Series.1"
"Enero","2020",0.883461057922952
"Febrero","2020",0.535082815086322
"Marzo","2020",0.205195829988023
"Abril","2020",-0.246219784033723
"Mayo","2020",-1.24931503203263
"Junio","2020",0.740566244480248
"Julio","2020",0.314149163767452
"Agosto","2020",-1.03707979993178
"Septiembre","2020",-2.08535556603183
"Octubre","2020",-0.557820729293128
"Noviembre","2020",-0.282216147062508
"Diciembre","2020",0.430727299295457
"Enero","2021",1.14726972044101
"Febrero","2021",1.11962512091002
"Marzo","2021",0.597636130168886
"Abril","2021",0.565374957093481
"Mayo","2021",0.109827937108539
"Junio","2021",0.118691838751575
"Julio","2021",-0.0563487049864435
"Agosto","2021",0.26724205126858
"Septiembre","2021",0.315553266146687
"Octubre","2021",0.460023043166632
"Noviembre","2021",0.651323011658744
"Diciembre","2021",1.19154205406732
"Enero","2022",1.30173970690928
"Febrero","2022",1.19279307278842
"Marzo","2022",0.54990372582033
"Abril","2022",0.523074645708717
"Mayo","2022",-0.0203426501936447
"Junio","2022",0.222902205824093
"Julio","2022",-0.0818453463377336
"Agosto","2022",0.152937536730328
"Septiembre","2022",0.280158197503313
"Octubre","2022",0.367755932415687
"Noviembre","2022",0.591557521857877
"Diciembre","2022",1.14304134691728
