Producto;Volumen;Unidad
Arveja Verde;116750;kilos
Brócoli;4899440;unidad
Coliflor;4880610;unidad
Espinaca;1.166.600;kilos
Frutilla;2439668;kilos
Haba;1639500;kilos
Pepino ensalada;698600;unidad
Poroto granado;1788500;kilos
Poroto verde;145250;kilos
Repollo;10900;unidad
Sandia;278130;unidad
Zanahoria;3.576.960;kilos
Zapallo italiano;2927400;unidad
Ajo;2220500;unidad
Alcachofa;365700;unidad
Apio;450000;unidad
Choclo;17.291.000;unidad
Lechuga;1009980;unidad
Melón;385.900;unidad
Tomate;4598640;kilos
Frutilla;2480233;kilos
